# doc_id	para_idx	verses
# source=library/source_links.json
# threshold=build_graph.MIN_SCORE (default 0.25 unless graphs were rebuilt with --min-score)
gutenberg_lds:lucy_mack_smith	321	20
history_of_church:vol1	343	20
history_of_church:vol1	422	20
history_of_church:vol1	663	20
history_of_church:vol1	926	20
history_of_church:vol1	1202	20
history_of_church:vol1	1239	20
history_of_church:vol1	1415	20
history_of_church:vol1	2001	20
history_of_church:vol1	2025	20
history_of_church:vol1	2043	20
history_of_church:vol1	2095	20
history_of_church:vol1	2844	20
history_of_church:vol1	3011	20
journal_of_discourses:vol_22	435	20
times_and_seasons:times_and_seasons_1839_1846_1839_december_vol_04_no_02	68	20
times_and_seasons:times_and_seasons_1839_1846_1840_december_vol_02_no_04	136	20
times_and_seasons:times_and_seasons_1839_1846_1840_march_vol_01_no_05	11	20
times_and_seasons:times_and_seasons_1839_1846_1840_september_vol_01_no_11	292	20
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	1092	20
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	1173	20
history_of_church:vol1	710	19
history_of_church:vol1	798	19
history_of_church:vol1	1060	19
history_of_church:vol1	1371	19
history_of_church:vol1	1554	19
history_of_church:vol1	1670	19
history_of_church:vol1	1776	19
history_of_church:vol1	1857	19
history_of_church:vol1	2159	19
history_of_church:vol1	2240	19
history_of_church:vol1	2504	19
history_of_church:vol1	2541	19
history_of_church:vol1	3643	19
history_of_church:vol1	3957	19
joseph_smith_papers:lectures_on_faith	82	19
times_and_seasons:times_and_seasons_1839_1846_1839_july_vol_01_no_01	186	19
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	3	19
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	32	19
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	199	19
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	273	19
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	346	19
times_and_seasons:times_and_seasons_1839_1846_1840_february_vol_01_no_04	35	19
times_and_seasons:times_and_seasons_1839_1846_1840_january_vol_01_no_03	42	19
times_and_seasons:times_and_seasons_1839_1846_1840_january_vol_01_no_03	56	19
times_and_seasons:times_and_seasons_1839_1846_1840_march_vol_01_no_05	12	19
times_and_seasons:times_and_seasons_1839_1846_1840_september_vol_01_no_11	26	19
times_and_seasons:times_and_seasons_1839_1846_1840_september_vol_01_no_11	289	19
times_and_seasons:times_and_seasons_1839_1846_1841_april_vol_02_no_11	26	19
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	53	19
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	1081	19
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	2180	19
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	3897	19
times_and_seasons:times_and_seasons_1839_1846_1845_december_vol_06_no_19	52	19
history_of_church:vol1	268	18
history_of_church:vol1	320	18
history_of_church:vol1	972	18
history_of_church:vol1	1503	18
history_of_church:vol1	1628	18
history_of_church:vol1	1900	18
history_of_church:vol1	2748	18
history_of_church:vol1	3210	18
history_of_church:vol1	3228	18
history_of_church:vol1	3323	18
history_of_church:vol1	3671	18
